iter	RMSE
0	53.41954262
1	52.89392281
2	52.45833924
3	52.01827918
4	51.63640717
5	51.29552644
6	50.96677993
7	50.67713938
8	50.39468073
9	50.14104982
10	49.91315255
11	49.70593398
12	49.52600229
13	49.37586837
14	49.22724741
15	49.09804515
16	48.95972983
17	48.85130238
18	48.71340341
19	48.61274363
20	48.52323732
21	48.42349752
22	48.33456426
23	48.25870636
24	48.19672009
25	48.15637387
26	48.08983104
27	48.02198436
28	47.9577667
29	47.90029513
30	47.85067202
31	47.81089097
32	47.78137487
33	47.74067553
34	47.69191752
35	47.64675979
36	47.59858729
37	47.55480524
38	47.48455796
39	47.45540388
40	47.41910018
41	47.38959029
42	47.35224015
43	47.31122251
44	47.26842625
45	47.22794191
46	47.17257476
47	47.12570481
48	47.08060833
49	47.05016529
50	47.02497628
51	46.9850406
52	46.93432736
53	46.90730262
54	46.8836981
55	46.84109767
56	46.81225223
57	46.78252655
58	46.76010275
59	46.74121348
60	46.71879334
61	46.68725466
62	46.66992634
63	46.6433589
64	46.62877174
65	46.60344904
66	46.56813283
67	46.54442378
68	46.52007862
69	46.49291489
70	46.47177595
71	46.4513995
72	46.43589729
73	46.37923781
74	46.36092072
75	46.32046328
76	46.27442676
77	46.23804822
78	46.21493336
79	46.16871662
80	46.13460364
81	46.11241286
82	46.10074673
83	46.07274924
84	46.06004661
85	46.04333484
86	46.02327066
87	45.9971784
88	45.9681625
89	45.94569491
90	45.92822498
91	45.90702981
92	45.89375271
93	45.86746172
94	45.81670706
95	45.80552122
96	45.78643008
97	45.76387324
98	45.73875788
99	45.72195491
100	45.71474215
101	45.68821739
102	45.65268417
103	45.63624384
104	45.603411
105	45.5785731
106	45.56415156
107	45.56125171
108	45.53945729
109	45.53350785
110	45.51963656
111	45.49552791
112	45.48736227
113	45.456243
114	45.44051638
115	45.41561503
116	45.39363289
117	45.36703062
118	45.35145973
119	45.32899867
120	45.31736996
121	45.29290532
122	45.26425983
123	45.25027403
124	45.23940265
125	45.21777615
126	45.20624828
127	45.18414461
128	45.15504965
129	45.14235532
130	45.1092647
131	45.09012593
132	45.07323416
133	45.058939
134	45.03491223
135	45.01692126
136	44.98038719
137	44.9580243
138	44.94011697
139	44.92134281
140	44.90790424
141	44.89093383
142	44.86111389
143	44.80589836
144	44.78187887
145	44.76987934
146	44.73988118
147	44.71507459
148	44.69440004
149	44.6714035
150	44.63016683
151	44.61713253
152	44.60143634
153	44.56460645
154	44.5460556
155	44.52459852
156	44.5114359
157	44.48538218
158	44.47064636
159	44.44893222
160	44.42436072
161	44.40594654
162	44.37836289
163	44.33345847
164	44.30285947
165	44.28269064
166	44.26147442
167	44.24946935
168	44.23834032
169	44.19402674
170	44.18052085
171	44.15379952
172	44.14010168
173	44.12556826
174	44.10819312
175	44.09768983
176	44.08915481
177	44.06787719
178	44.03907769
179	44.0241346
180	44.00450518
181	43.98042187
182	43.96501963
183	43.94278604
184	43.93163184
185	43.91819339
186	43.89851191
187	43.88287699
188	43.86642322
189	43.85312784
190	43.84391425
191	43.83636323
192	43.82130766
193	43.79876543
194	43.78431194
195	43.77039821
196	43.75737101
197	43.74460929
198	43.7225015
199	43.71113264
200	43.70332514
201	43.69054217
202	43.67277953
203	43.65614003
204	43.63234646
205	43.62330819
206	43.61425977
207	43.60560212
208	43.59431689
209	43.57401132
210	43.55623005
211	43.54852247
212	43.51323708
213	43.49870293
214	43.46070347
215	43.43757536
216	43.42828019
217	43.41954405
218	43.39837072
219	43.39008644
220	43.37218993
221	43.36435727
222	43.35740797
223	43.35118003
224	43.33314091
225	43.32644058
226	43.31939876
227	43.3131679
228	43.29490571
229	43.28977747
230	43.27566612
231	43.26273656
232	43.24369019
233	43.22300185
234	43.21697498
235	43.21116316
236	43.2055578
237	43.17269886
238	43.15205166
239	43.14077848
240	43.12093405
241	43.0972634
242	43.07573684
243	43.06532245
244	43.05608406
245	43.0374175
246	43.0319866
247	43.01398024
248	42.98916896
249	42.9786594
250	42.95930364
251	42.94072894
252	42.9222403
253	42.90340304
254	42.8981453
255	42.88963536
256	42.87178162
257	42.85315329
258	42.83653503
259	42.81909603
260	42.81193652
261	42.80685835
262	42.79209992
263	42.77107223
264	42.74874064
265	42.73444824
266	42.72530833
267	42.71486331
268	42.6939745
269	42.67784105
270	42.66239967
271	42.65426371
272	42.64508511
273	42.63438168
274	42.61936449
275	42.61447828
276	42.59573328
277	42.58860184
278	42.57718112
279	42.56571703
280	42.555109
281	42.53779054
282	42.52558443
283	42.51274506
284	42.4938779
285	42.48011464
286	42.46022793
287	42.44350924
288	42.42853868
289	42.41236093
290	42.39905944
291	42.38313641
292	42.37011488
293	42.35380804
294	42.34701179
295	42.33446628
296	42.32227358
297	42.30260614
298	42.27095111
299	42.26579253
300	42.24608146
301	42.22800532
302	42.21138171
303	42.19628335
304	42.18812326
305	42.18265375
306	42.1691905
307	42.16056552
308	42.15530984
309	42.14023395
310	42.12706467
311	42.11010535
312	42.06806677
313	42.05788356
314	42.03537191
315	42.02511713
316	41.99202906
317	41.98195944
318	41.971917
319	41.96740013
320	41.96246095
321	41.95876594
322	41.94111871
323	41.92418155
324	41.91280338
325	41.90847691
326	41.90048344
327	41.88463235
328	41.8706814
329	41.85326791
330	41.84845708
331	41.84039428
332	41.81952058
333	41.80672358
334	41.79301151
335	41.78482601
336	41.77790873
337	41.77204354
338	41.76330931
339	41.73245067
340	41.72150277
341	41.70601575
342	41.69914351
343	41.66963039
344	41.62550565
345	41.60670184
346	41.59977131
347	41.5913748
348	41.56996184
349	41.56669072
350	41.54130826
351	41.53705985
352	41.52594822
353	41.51203014
354	41.49774397
355	41.48940953
356	41.47928778
357	41.45021085
358	41.41940934
359	41.40408771
360	41.39305134
361	41.38894609
362	41.38499741
363	41.38119858
364	41.36329085
365	41.35893573
366	41.3476127
367	41.33542872
368	41.32215189
369	41.30211908
370	41.29845299
371	41.28548801
372	41.28195978
373	41.26870096
374	41.2577624
375	41.23821167
376	41.22585282
377	41.22227075
378	41.21887258
379	41.20202132
380	41.19901666
381	41.19584681
382	41.17369354
383	41.17064025
384	41.1580823
385	41.13029639
386	41.10085176
387	41.08744673
388	41.0736006
389	41.06594402
390	41.06184559
391	41.0342071
392	41.01640164
393	41.01344959
394	41.0015514
395	40.98647911
396	40.97734918
397	40.96168476
398	40.95883759
399	40.95609579
400	40.95345512
401	40.94022731
402	40.92598183
403	40.91585895
404	40.9050262
405	40.90187228
406	40.89628777
407	40.88807581
408	40.88552993
409	40.87366424
410	40.86139754
411	40.84592383
412	40.8319863
413	40.81843262
414	40.81310554
415	40.79726718
416	40.78659006
417	40.77412184
418	40.76740184
419	40.75578461
420	40.72852387
421	40.72030552
422	40.70281541
423	40.6892404
424	40.68239145
425	40.67992699
426	40.66291308
427	40.66053648
428	40.64093002
429	40.63064826
430	40.62717779
431	40.61901802
432	40.60712268
433	40.59673273
434	40.58651951
435	40.5715117
436	40.56921456
437	40.55900787
438	40.554099
439	40.54492218
440	40.53489218
441	40.5324833
442	40.52625745
443	40.51097919
444	40.49804656
445	40.48629263
446	40.48161655
447	40.46564009
448	40.45440469
449	40.44491474
450	40.41914872
451	40.40693597
452	40.39470989
453	40.38049708
454	40.37038454
455	40.34966821
456	40.32164887
457	40.2994082
458	40.28646753
459	40.27899844
460	40.27528654
461	40.26511306
462	40.25586346
463	40.24492267
464	40.23897252
465	40.22587393
466	40.21587821
467	40.21141945
468	40.19278501
469	40.1794837
470	40.17006611
471	40.16256576
472	40.15714872
473	40.12177599
474	40.11607871
475	40.09880014
476	40.09465554
477	40.09234002
478	40.08171614
479	40.0795027
480	40.07419578
481	40.06694871
482	40.0543248
483	40.04475832
484	40.04263155
485	40.03137072
486	40.02145659
487	40.01002
488	40.0014459
489	39.99432438
490	39.98455303
491	39.96336722
492	39.95080566
493	39.94276521
494	39.93187782
495	39.92003072
496	39.91227062
497	39.89763215
498	39.89078366
499	39.88844373
500	39.86632553
501	39.84978547
502	39.83309032
503	39.82646778
504	39.82256572
505	39.81021943
506	39.80108332
507	39.77597902
508	39.75758464
509	39.73427999
510	39.72696572
511	39.71867966
512	39.70918667
513	39.70189432
514	39.68283712
515	39.68085828
516	39.6659371
517	39.64868873
518	39.63925971
519	39.6363985
520	39.62950665
521	39.61775007
522	39.61043147
523	39.59344107
524	39.59255287
525	39.57890063
526	39.55552018
527	39.54080889
528	39.52848247
529	39.51810331
530	39.51004572
531	39.5081908
532	39.4979718
533	39.4874906
534	39.48132214
535	39.45990597
536	39.45057929
537	39.43234097
538	39.41090919
539	39.39885572
540	39.3845459
541	39.37583533
542	39.36811047
543	39.35799306
544	39.34879194
545	39.33691403
546	39.32751762
547	39.31741873
548	39.30442722
549	39.29378853
550	39.28598373
551	39.27651378
552	39.26509399
553	39.25516082
554	39.24520909
555	39.23168575
556	39.22242731
557	39.21444784
558	39.20627371
559	39.19779122
560	39.19166583
561	39.17987856
562	39.16999577
563	39.16074608
564	39.14962836
565	39.14204898
566	39.13196658
567	39.12265327
568	39.10628935
569	39.09842328
570	39.09314676
571	39.0921974
572	39.08763804
573	39.08140972
574	39.06457521
575	39.05342704
576	39.03819551
577	39.02947231
578	39.01671911
579	39.00475269
580	38.99742489
581	38.98904497
582	38.98195933
583	38.9729612
584	38.96631644
585	38.9619051
586	38.9452595
587	38.9391686
588	38.93360677
589	38.92535357
590	38.91714736
591	38.91049345
592	38.90533427
593	38.89492883
594	38.88850626
595	38.86527666
596	38.85213864
597	38.84595901
598	38.8375643
599	38.8263159
600	38.81376993
601	38.80140132
602	38.78473466
603	38.77509786
604	38.76840365
605	38.74998568
606	38.74040023
607	38.7304564
608	38.72373068
609	38.71483472
610	38.6987941
611	38.69210126
612	38.68618902
613	38.67956096
614	38.67349782
615	38.66864759
616	38.66267121
617	38.65347248
618	38.64791881
619	38.64321967
620	38.6378612
621	38.62903816
622	38.62539525
623	38.60996905
624	38.60092105
625	38.59072655
626	38.57790792
627	38.56636632
628	38.56058456
629	38.5562793
630	38.54807499
631	38.53102592
632	38.52224637
633	38.51458832
634	38.51140526
635	38.50576852
636	38.49671749
637	38.49159493
638	38.48331919
639	38.47262096
640	38.46607991
641	38.4546024
642	38.45293496
643	38.4393628
644	38.43740435
645	38.43050094
646	38.42297724
647	38.41250273
648	38.39588067
649	38.3870583
650	38.38091343
651	38.37908626
652	38.37187915
653	38.36459569
654	38.35424107
655	38.34629757
656	38.3384134
657	38.32834548
658	38.32087335
659	38.31677931
660	38.29739687
661	38.28728318
662	38.2812115
663	38.27650834
664	38.26095728
665	38.25177972
666	38.23060547
667	38.21916212
